text,textrank
Herz,0.008848060375618702
Lotte,0.008724439912221944
Menschen,0.008374662115898393
Seele,0.005942194221290833
Albert,0.005850187803607628
Tage,0.005170551779674028
Alter,0.004794982464533694
Leben,0.0046037879604904535
Hand,0.00459169452837007
Welt,0.004400214860421698
Augen,0.00439441777375729
Werther,0.004209226106033373
Kinder,0.004089347848812959
Zeit,0.004058167787603367
Gott,0.00401330152133271
Mann,0.003968307866405146
Augenblick,0.0038855747592918886
Tränen,0.0034278610106415865
Kräfte,0.0033903438710689198
Wort,0.003334854805141542
Arme,0.003280534158932289
glücklich,0.003274750956538424
Wilhelm,0.0032335220557091716
Freund,0.0030799028912444877
Sinne,0.0030440681941909993
Frau,0.002917866425956572
junge,0.0028706263007306177
Freude,0.0028132061348099917
Hause,0.0027667629911508457
Hügel,0.0026874667370819496
Stimme,0.002669961926440368
Geist,0.0026163466820198233
Leidenschaft,0.0025718655879566504
herrlichen,0.0024959506122757694
Vater,0.0024265925996504877
Himmel,0.0023950305881436608
Empfindung,0.0023863546384456755
Mädchen,0.002333811354398148
Nacht,0.002310654852796313
Stunde,0.0022709275962650368
Unglücklichen,0.0022638950978021146
stillen,0.0022076943245931185
ewig,0.0021429789514411587
recht,0.0020823730249245327
wahren,0.002036181189793808
Gefühl,0.0020256567587326
Sohn,0.0020245678034469202
Natur,0.0020209979909131567
Mutter,0.0019871947289362263
Bester,0.001974392389076262
Gesellschaft,0.0019425595333670631
Grab,0.0019306571871971923
Gegenwart,0.001922692024397655
Stadt,0.0019143219674977244
ruhig,0.0018971006081981504
leicht,0.0018489562445923664
Geschöpf,0.0018378071336578137
Erde,0.0018323621817821147
Sonne,0.001824083724512459
hohen,0.001819290095520088
Bäume,0.0018160936429520266
Tal,0.001804996127548254
Herr,0.0017813250646307199
Sache,0.0017559411382362313
Abend,0.0017526149094744781
Elend,0.0017336234895695935
Blut,0.0017294535452531399
Gedanken,0.0017255139117485208
heilig,0.0016848835785624025
Glück,0.00167779510956728
Ende,0.0016641871256407818
Felsen,0.0016520674629144387
Tode,0.0016317376405629897
Blick,0.0016096678590027448
stark,0.0016026213237612433
Bruder,0.0015948909964136114
tiefen,0.00159454020218933
lebhaft,0.0015472570531274905
Wald,0.0015317592604759708
Verhältnisse,0.0015212771334282395
Leute,0.0015092957546612262
Strom,0.0015054601115327244
Amtmann,0.0014955114751869756
gewisser,0.001486928443651143
Tische,0.0014727486627640963
Berge,0.0014652618798437263
halb,0.0014555766245998101
Kopf,0.0014550814646341992
Buch,0.0014415050782982822
Tochter,0.0014153220325687113
Ruhe,0.0014151984024455993
Tor,0.0014076824984322412
Lippen,0.001389972522170428
süßen,0.0013896446380838188
Hoffnungen,0.0013883472513603586
übrigen,0.0013815374284957304
Geschichte,0.0013647590043827616
näher,0.0013646032162665464
Brief,0.0013625784847499435
schwach,0.0013568358833465006
